author_id,author_name,author_url,crowdsourced_gender,notes_for_other_gender,crowdsourced_race,notes_for_other_race,comment_about_where_the_info_was_found
2909286037,meng wang,https://academic.microsoft.com/author/2909286037/,female,,East Asian,,
2146551188,james moody,https://academic.microsoft.com/author/2146551188/,male,,White/European,,https://gradschool.duke.edu/about/news/james-moody-2016-dean-s-award-winner
2102592651,luis eduardo guarnizo,https://academic.microsoft.com/author/2102592651/,male,,Hispanic/Latino,,https://humanecology.ucdavis.edu/luis-e-guarnizo
2178444706,tosiyasu l kunii,https://academic.microsoft.com/author/2178444706/,male,,East Asian,,https://www.computer.org/profiles/tosiyasu-kunii
2258767774,carlo sansone,https://academic.microsoft.com/author/2258767774/,male,,White/European,,https://avires.dimi.uniud.it/vismac2016/team/carlo-sansone/
2380581373,alfred v aho,https://academic.microsoft.com/author/2380581373/,male,,White/European,,https://en.wikipedia.org/wiki/Alfred_Aho
2108592798,francisco c santos,https://academic.microsoft.com/author/2108592798/,male,,White/European,,https://scholar.google.com/citations?user=Kp5fFpYAAAAJ&hl=en
1958098182,david gefen,https://academic.microsoft.com/author/1958098182/,male,,White/European,,https://academic.microsoft.com/profile/ei83jg1f-f328-4e80-8091-f769j06fgijf/DavidGefen/publication/search?q=David%20Gefen&qe=%2540%2540%2540USER.PUBLICATIONS%253Dae83fc1b-b328-4a80-8091-b769f06bcefb&f=&orderBy=0
2944772701,donatello conte,https://academic.microsoft.com/author/2944772701/,male,,White/European,,
1153399231,t b massalski,https://academic.microsoft.com/author/1153399231/,male,,White/European,,http://www.science24.com/paper/7510
2169339803,quanxin wang,https://academic.microsoft.com/author/2169339803/,male,,East Asian,,https://alleninstitute.org/what-we-do/brain-science/about/team/staff-profiles/quanxin-wang/
31105430,andrew j cherlin,https://academic.microsoft.com/author/31105430/,male,,White/European,,https://academic.microsoft.com/author/31105430/publication/search?q=Andrew%20J.%20Cherlin&qe=Composite(AA.AuId%253D31105430)&f=&orderBy=0
2078454212,pasquale foggia,https://academic.microsoft.com/author/2078454212/,male,,White/European,,https://docenti.unisa.it/005768/en/curriculum
2776396093,gerd sparovek,https://academic.microsoft.com/author/2776396093/,male,,White/European,,https://pt-br.facebook.com/usponline/photos/o-professor-da-usp-gerd-sparovek-foi-nomeado-presidente-da-funda%C3%A7%C3%A3o-para-conserv/1589920651061566/
2063540876,keith w hipel,https://academic.microsoft.com/author/2063540876/,male,,White/European,,https://uwaterloo.ca/scholar/kwhipel/home
2792200781,weiying ma,https://academic.microsoft.com/author/2792200781/,male,,East Asian,,https://scholar.google.com/citations?user=SToCbu8AAAAJ&hl=en
2245594419,claude berge,https://academic.microsoft.com/author/2245594419/,male,,White/European,,https://alchetron.com/Claude-Berge
2153399456,jonathan d power,https://academic.microsoft.com/author/2153399456/,male,,White/European,,https://scholar.google.com/citations?user=mlNP7HgAAAAJ&hl=en
2185147131,geoffrey j barton,https://academic.microsoft.com/author/2185147131/,male,,White/European,,https://www.lifesci.dundee.ac.uk/people/geoff-barton
2117986484,evgeny krissinel,https://academic.microsoft.com/author/2117986484/,male,,White/European,,
2546121090,joel m podolny,https://academic.microsoft.com/author/2546121090/,male,,White/European,,http://archives.news.yale.edu/v34.n2/story7.html
259335324,yves chiricota,https://academic.microsoft.com/author/259335324/,male,,White/European,,https://www.maa.org/careers/career-profiles/computing/yves-chiricota
2108025540,pietro perona,https://academic.microsoft.com/author/2108025540/,male,,White/European,,https://en.wikipedia.org/wiki/Pietro_Perona
2311440675,arthur w lees,https://academic.microsoft.com/author/2311440675/,male,,White/European,,https://www.researchgate.net/profile/Arthur_Lees
695630297,giuseppe di battista,https://academic.microsoft.com/author/695630297/,male,,White/European,,http://www.dia.uniroma3.it/~compunet/www/view/person.php?id=gdb
2076870029,f g kondev,https://academic.microsoft.com/author/2076870029/,male,,White/European,,https://www.researchgate.net/profile/Filip_Kondev
2177683437,alexandru t balaban,https://academic.microsoft.com/author/2177683437/,male,,White/European,,https://en.wikipedia.org/wiki/Alexandru_Balaban
2471975408,g gordon steel,https://academic.microsoft.com/author/2471975408/,male,,White/European,,
